match_id,date,team1,team2,toss_winner,toss_decision,winner,winner_wickets,player_of_match,venue,city
1462596,2024/11/30,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts,8,BKEL Milantha,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462640,2024/12/02,Kathmandu Gurkhas,Chitwan Rhinos,Chitwan Rhinos,field,Chitwan Rhinos,5,Sohail Tanvir,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462641,2024/12/02,Karnali Yaks,Janakpur Bolts,Karnali Yaks,bat,Janakpur Bolts,8,AK Sah,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462642,2024/12/03,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Sudur Paschim Royals,,DS Airee,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462643,2024/12/03,Chitwan Rhinos,Pokhara Avengers,Pokhara Avengers,field,Chitwan Rhinos,,R Dhakal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462644,2024/12/04,Karnali Yaks,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Kathmandu Gurkhas,3,S Maharjan,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462645,2024/12/04,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,2,Lokesh Bam,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462646,2024/12/05,Pokhara Avengers,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts,7,JDS Neesham,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462647,2024/12/05,Sudur Paschim Royals,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Sudur Paschim Royals,,N Saud,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462648,2024/12/06,Chitwan Rhinos,Karnali Yaks,Karnali Yaks,field,Karnali Yaks,6,BP Sharma,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462649,2024/12/06,Lumbini Lions,Pokhara Avengers,Lumbini Lions,bat,Pokhara Avengers,10,AGS Gous,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462650,2024/12/07,Sudur Paschim Royals,Lumbini Lions,Lumbini Lions,field,Sudur Paschim Royals,,SA Zaib,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462651,2024/12/07,Karnali Yaks,Biratnagar Kings,Biratnagar Kings,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462652,2024/12/08,Janakpur Bolts,Lumbini Lions,Lumbini Lions,field,Janakpur Bolts,,H Thaker,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462653,2024/12/08,Chitwan Rhinos,Sudur Paschim Royals,Chitwan Rhinos,bat,Chitwan Rhinos,,Hassan Eisakhil,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462654,2024/12/10,Lumbini Lions,Chitwan Rhinos,Chitwan Rhinos,field,Lumbini Lions,,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462655,2024/12/10,Pokhara Avengers,Karnali Yaks,Pokhara Avengers,bat,Karnali Yaks,7,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462656,2024/12/11,Sudur Paschim Royals,Janakpur Bolts,Janakpur Bolts,field,Sudur Paschim Royals,,I Pandey,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462657,2024/12/11,Kathmandu Gurkhas,Lumbini Lions,Kathmandu Gurkhas,bat,Kathmandu Gurkhas,,Karan KC,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462658,2024/12/12,Biratnagar Kings,Pokhara Avengers,Biratnagar Kings,bat,,,RA Reifer,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462659,2024/12/12,Kathmandu Gurkhas,Janakpur Bolts,Kathmandu Gurkhas,bat,Janakpur Bolts,5,LN Rajbanshi,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462660,2024/12/13,Karnali Yaks,Lumbini Lions,Lumbini Lions,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462661,2024/12/13,Biratnagar Kings,Chitwan Rhinos,Biratnagar Kings,bat,Biratnagar Kings,,Basir Ahamad,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462662,2024/12/14,Pokhara Avengers,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Kathmandu Gurkhas,6,SS Eskinazi,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462663,2024/12/14,Chitwan Rhinos,Janakpur Bolts,Chitwan Rhinos,bat,Chitwan Rhinos,,Kushal Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462664,2024/12/15,Biratnagar Kings,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Kathmandu Gurkhas,1,D Kandel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462665,2024/12/15,Sudur Paschim Royals,Pokhara Avengers,Pokhara Avengers,field,Sudur Paschim Royals,,SC Kuggeleijn,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462666,2024/12/16,Karnali Yaks,Sudur Paschim Royals,Sudur Paschim Royals,field,Sudur Paschim Royals,6,DS Airee,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462667,2024/12/18,Karnali Yaks,Chitwan Rhinos,Chitwan Rhinos,field,Karnali Yaks,,CAK Walton,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462668,2024/12/18,Janakpur Bolts,Sudur Paschim Royals,Janakpur Bolts,bat,Sudur Paschim Royals,8,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462669,2024/12/19,Karnali Yaks,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts,2,JDS Neesham,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1462670,2024/12/21,Sudur Paschim Royals,Janakpur Bolts,Sudur Paschim Royals,bat,Janakpur Bolts,5,BKEL Milantha,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510977,2025/11/17,Janakpur Bolts,Kathmandu Gorkhas,Kathmandu Gorkhas,field,Kathmandu Gorkhas,5,Milind Kumar,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510978,2025/11/18,Karnali Yaks,Chitwan Rhinos,Chitwan Rhinos,field,Chitwan Rhinos,4,RS Bopara,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510979,2025/11/18,Biratnagar Kings,Pokhara Avengers,Pokhara Avengers,field,Biratnagar Kings,,Lokesh Bam,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510980,2025/11/19,Sudur Paschim Royals,Kathmandu Gorkhas,Kathmandu Gorkhas,field,Sudur Paschim Royals,,Harmeet Singh,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510981,2025/11/20,Chitwan Rhinos,Lumbini Lions,Lumbini Lions,field,Lumbini Lions,6,R Trumpelmann,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510982,2025/11/21,Sudur Paschim Royals,Pokhara Avengers,Pokhara Avengers,field,Sudur Paschim Royals,,J Brown,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510983,2025/11/22,Lumbini Lions,Karnali Yaks,Karnali Yaks,field,Karnali Yaks,9,MRJ Watt,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510984,2025/11/22,Kathmandu Gorkhas,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,5,M de Lange,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510985,2025/11/24,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,Biratnagar Kings,,S Lamichhane,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510986,2025/11/24,Sudur Paschim Royals,Karnali Yaks,Karnali Yaks,field,Sudur Paschim Royals,,DS Airee,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510987,2025/11/25,Kathmandu Gorkhas,Lumbini Lions,Lumbini Lions,field,Kathmandu Gorkhas,,Karan KC,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510988,2025/11/26,Chitwan Rhinos,Biratnagar Kings,Biratnagar Kings,field,Chitwan Rhinos,,R Kumar,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510989,2025/11/27,Lumbini Lions,Sudur Paschim Royals,Sudur Paschim Royals,field,Sudur Paschim Royals,7,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510990,2025/11/27,Pokhara Avengers,Janakpur Bolts,Pokhara Avengers,bat,Pokhara Avengers,,SL Verma,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510991,2025/11/28,Kathmandu Gorkhas,Chitwan Rhinos,Chitwan Rhinos,field,Kathmandu Gorkhas,,JA Simpson,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510992,2025/11/28,Karnali Yaks,Biratnagar Kings,Karnali Yaks,bat,Biratnagar Kings,3,Basir Ahamad,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510993,2025/11/29,Pokhara Avengers,Lumbini Lions,Lumbini Lions,field,Lumbini Lions,3,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510994,2025/11/29,Janakpur Bolts,Sudur Paschim Royals,Janakpur Bolts,bat,Sudur Paschim Royals,6,I Pandey,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510995,2025/11/30,Karnali Yaks,Kathmandu Gorkhas,Karnali Yaks,bat,Kathmandu Gorkhas,5,MG Erasmus,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510996,2025/12/02,Chitwan Rhinos,Janakpur Bolts,Chitwan Rhinos,bat,Janakpur Bolts,6,AK Sah,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510997,2025/12/02,Pokhara Avengers,Karnali Yaks,Karnali Yaks,field,Pokhara Avengers,,AM Rossington,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510998,2025/12/03,Biratnagar Kings,Lumbini Lions,Lumbini Lions,field,Lumbini Lions,5,S Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1510999,2025/12/04,Kathmandu Gorkhas,Pokhara Avengers,Pokhara Avengers,field,Kathmandu Gorkhas,,B Sharki,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511000,2025/12/04,Sudur Paschim Royals,Chitwan Rhinos,Chitwan Rhinos,field,Sudur Paschim Royals,,CA Lynn,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511001,2025/12/05,Janakpur Bolts,Lumbini Lions,Janakpur Bolts,bat,Lumbini Lions,4,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511002,2025/12/06,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,6,F du Plessis,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511003,2025/12/06,Chitwan Rhinos,Pokhara Avengers,Chitwan Rhinos,bat,Pokhara Avengers,8,AM Rossington,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511004,2025/12/07,Karnali Yaks,Janakpur Bolts,Janakpur Bolts,field,Karnali Yaks,,WG Bosisto,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511005,2025/12/09,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Sudur Paschim Royals,,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511006,2025/12/10,Kathmandu Gorkhas,Lumbini Lions,Kathmandu Gorkhas,bat,Lumbini Lions,4,S Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511007,2025/12/11,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,Lumbini Lions,,TR Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1511008,2025/12/13,Sudur Paschim Royals,Lumbini Lions,Sudur Paschim Royals,bat,Lumbini Lions,6,R Trumpelmann,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
